Date,Forecast,Count
1/4/2020 2:00,11.17021089,19
1/4/2020 3:00,8.659577533,14
1/4/2020 4:00,7.914897881,12
1/4/2020 5:00,6.680846304,12
1/4/2020 6:00,5.999972141,8
1/4/2020 7:00,5.425498579,5
1/4/2020 8:00,5.93628231,5
1/4/2020 9:00,8.19185483,8
1/4/2020 10:00,10.95760008,12
1/4/2020 11:00,14.02022956,20
1/4/2020 12:00,17.61427594,24
1/4/2020 13:00,19.65542324,27
1/4/2020 14:00,21.01571444,26
1/4/2020 15:00,21.18531224,31
1/4/2020 16:00,20.29670651,37
1/4/2020 17:00,19.94813828,34
1/4/2020 18:00,19.11123629,31
1/4/2020 19:00,19.03831519,30
1/4/2020 20:00,18.0764436,29
1/4/2020 21:00,18.4136065,27
1/4/2020 22:00,17.09595416,28
1/4/2020 23:00,15.20835147,25
1/5/2020 0:00,13.29761628,22
1/5/2020 1:00,11.27151118,21
1/5/2020 2:00,9.292234796,17
1/5/2020 3:00,7.470486395,15
1/5/2020 4:00,6.718364727,14
1/5/2020 5:00,5.648660736,12
1/5/2020 6:00,5.074521065,12
1/5/2020 7:00,5.053988336,12
1/5/2020 8:00,5.760369517,12
1/5/2020 9:00,7.986879143,18
1/5/2020 10:00,11.47419219,19
1/5/2020 11:00,14.30183063,23
1/5/2020 12:00,17.19277268,25
1/5/2020 13:00,18.55290067,33
1/5/2020 14:00,18.85059514,45
1/5/2020 15:00,19.61688788,34
1/5/2020 16:00,19.70216811,28
1/5/2020 17:00,20.12769309,28
1/5/2020 18:00,19.2553253,29
1/5/2020 19:00,19.68084649,27
1/5/2020 20:00,19.87233669,28
1/5/2020 21:00,19.89361894,30
1/5/2020 22:00,18.6382984,27
1/5/2020 23:00,16.04255197,25
1/6/2020 0:00,13.68085187,22
1/6/2020 1:00,11.12765969,18
1/6/2020 2:00,9.382978054,16
1/6/2020 3:00,7.723404738,11
1/6/2020 4:00,6.23404261,8
1/6/2020 5:00,5.680850689,5
1/6/2020 6:00,5.57446836,3
1/6/2020 7:00,5.702127686,6
1/6/2020 8:00,6.914893408,5
1/6/2020 9:00,10.2765959,10
1/6/2020 10:00,14.59574469,18
1/6/2020 11:00,19.14893605,22
1/6/2020 12:00,22.97872349,23
1/6/2020 13:00,26.5106383,23
1/6/2020 14:00,27.42553185,26
1/6/2020 15:00,27.51063835,29
1/6/2020 16:00,27.17021277,26
1/6/2020 17:00,27.85106379,28
1/6/2020 18:00,29.02127662,30
1/6/2020 19:00,30.25531915,30
1/6/2020 20:00,29.93617019,32
1/6/2020 21:00,29.0851064,31
1/6/2020 22:00,26.12765957,25
1/6/2020 23:00,21.53191488,16
1/7/2020 0:00,18.19148937,15
1/7/2020 1:00,14.74468085,11
1/7/2020 2:00,11.19148936,9
1/7/2020 3:00,8.531914899,8
1/7/2020 4:00,7.170212765,5
1/7/2020 5:00,6.212765954,4
1/7/2020 6:00,5.148936173,3
1/7/2020 7:00,5.042553191,2
1/7/2020 8:00,5.765957445,5
1/7/2020 9:00,9.36170213,9
1/7/2020 10:00,13.10638298,15
1/7/2020 11:00,17.25531915,22
1/7/2020 12:00,20.65957447,31
1/7/2020 13:00,23.44680851,30
1/7/2020 14:00,24.70212766,39
1/7/2020 15:00,25.95744681,32
1/7/2020 16:00,25.82978723,26
1/7/2020 17:00,25.9787234,24
1/7/2020 18:00,26.27659575,18
1/7/2020 19:00,25.9787234,19
1/7/2020 20:00,26.34042553,17
1/7/2020 21:00,24.80851064,24
1/7/2020 22:00,22.80851064,21
1/7/2020 23:00,18.44680851,25
1/8/2020 0:00,15.36170213,23
1/8/2020 1:00,12.38297872,17
